#header,Name,Ozi ID,Ellipsoid,Delta X,Delta Y,Delta Z,PROJ4 definition,"comment"
datum,Auto Shift .....,,WGS 84,0,0,0,,
datum,Adindan,1,Clarke 1880,-162,-12,206,,
datum,Afgooye,2,Krassovsky 1940,-43,-163,45,,
datum,Ain el Abd 1970,3,International 1924,-150,-251,-2,,
datum,Anna 1 Astro 1965,4,Australian National,-491,-22,435,,
datum,Arc 1950,5,Clarke 1880,-143,-90,-294,,
datum,Arc 1960,6,Clarke 1880,-160,-8,-300,,
datum,Ascension Island 1958,7,International 1924,-207,107,52,,
datum,Astro B4 Sorol Atoll,9,International 1924,114,-116,-333,,
datum,Astro Beacon 1945,,International 1924,145,75,-272,,
datum,Astro DOS 71I4,10,International 1924,-320,550,-494,,
datum,Astronomic Stn 1952,11,International 1924,124,-234,-25,,
datum,Australian Geodetic 1966,12,Australian National,-133,-48,148,,
datum,Australian Geodetic 1984,13,Australian National,-134,-48,149,,
datum,Australian Geocentric 1994 (GDA94),201,GRS 80,0,0,0,,
datum,Austrian,202,Bessel 1841,594,84,471,,
datum,Bellevue (IGN),14,International 1924,-127,-769,472,,
datum,Bermuda 1957,15,Clarke 1866,-73,213,296,,
datum,Bogota Observatory,16,International 1924,307,304,-318,,
datum,Campo Inchauspe,17,International 1924,-148,136,90,,
datum,Canton Astro 1966,18,International 1924,298,-304,-375,,
datum,Cape,19,Clarke 1880,-136,-108,-292,,
datum,Cape Canaveral,20,Clarke 1866,-2,150,181,,
datum,Carthage,21,Clarke 1880,-263,6,431,"+datum=carthage",
datum,CH-1903,203,Bessel 1841,674,15,405,,
datum,Chatham 1971,22,International 1924,175,-38,113,,
datum,Chua Astro,23,International 1924,-134,229,-29,,
datum,Corrego Alegre,24,International 1924,-206,172,-6,,
datum,Djakarta (Batavia),,Bessel 1841,-377,681,-50,,
datum,DOS 1968,26,International 1924,230,-199,-752,,
datum,Easter Island 1967,27,International 1924,211,147,111,,
datum,Egypt,204,International 1924,-130,-117,-151,,
datum,European 1950,28,International 1924,-87,-98,-121,,
datum,European 1950 (Mean France),205,Hayford 1909,-87,-96,-120,,
datum,European 1950 (Spain and Portugal),206,International 1924,-84,-107,-120,,
datum,European 1979,29,International 1924,-86,-98,-119,,
datum,Finland Hayford,207,International 1924,-78,-231,-97,,
datum,Gandajika Base,30,International 1924,-133,-321,50,,
datum,Geodetic Datum 1949,31,International 1924,84,-22,209,,
datum,Guam 1963,34,Clarke 1866,-100,-248,259,,
datum,GUX 1 Astro,35,International 1924,252,-209,-751,,
datum,Hartebeeshoek94,104,WGS 84,0,0,0,,
datum,Hermannskogel,208,Bessel 1841,653,-212,449,"+datum=hermannskogel",
datum,Hjorsey 1955,37,International 1924,-73,46,-86,,
datum,Hong Kong 1963,38,International 1924,-156,-271,-189,,
datum,Hu-Tzu-Shan,39,International 1924,-634,-549,-201,,
datum,Indian Bangladesh,41,Everest (India 1830),289,734,257,,
datum,Indian Thailand,40,Everest (India 1830),214,836,303,,
datum,Israeli,209,Clarke 1880 Palestine,-235,-85,264,,
datum,Ireland 1965,42,Modified Airy,506,-122,611,"+datum=ire65",
datum,ISTS 073 Astro 1969,43,International 1924,208,-435,-229,,
datum,Johnston Island,44,International 1924,191,-77,-204,,
datum,Kandawala,45,Everest (India 1830),-97,787,86,,
datum,Kerguelen Island,46,International 1924,145,-187,103,,
datum,Kertau 1948,47,Everest (1948),-11,851,5,,
datum,L.C. 5 Astro,48,Clarke 1866,42,124,147,,
datum,Liberia 1964,49,Clarke 1880,-90,40,88,,
datum,Luzon Mindanao,51,Clarke 1866,-133,-79,-72,,
datum,Luzon Philippines,50,Clarke 1866,-133,-77,-51,,
datum,Mahe 1971,52,Clarke 1880,41,-220,-134,,
datum,Marco Astro,53,International 1924,-289,-124,60,,
datum,Massawa,54,Bessel 1841,639,405,60,,
datum,Merchich,55,Clarke 1880,31,146,47,,
datum,Midway Astro 1961,56,International 1924,912,-58,1227,,
datum,Minna,57,Clarke 1880,-92,-93,122,,
datum,NAD27 Alaska,63,Clarke 1866,-5,135,172,,
